@RELATION subject1act 

@ATTRIBUTE hipAccelSensor1	REAL 
@ATTRIBUTE hipAccelSensor2 	REAL 
@ATTRIBUTE class 	{walking,standing,running} 

@DATA 
577.122151,536.579520, 'walking'
575.060862,530.829999, 'walking'
552.759136,528.784672, 'walking'
576.337988,544.907779, 'walking'
567.427247,538.769768, 'walking'
560.101034,537.707078, 'walking'
562.774300,533.641222, 'walking'
541.678186,538.365139, 'walking'
585.165914,537.668887, 'walking'
569.687322,545.781837, 'walking'
584.234242,547.431917, 'walking'
581.740148,546.983356, 'walking'
577.047241,553.251556, 'walking'
580.156821,545.670914, 'walking'
576.402556,551.218118, 'walking'
575.730268,546.332095, 'walking'
574.040800,544.737670, 'walking'
585.786997,545.948471, 'walking'
591.509762,539.055677, 'walking'
607.472145,530.699712, 'walking'
620.937602,530.163579, 'walking'
619.954964,522.933863, 'walking'
620.799176,533.107163, 'walking'
612.137626,539.190294, 'walking'
618.042376,551.576564, 'walking'
611.208318,572.650772, 'walking'
611.455771,580.448758, 'walking'
603.370918,582.553039, 'walking'
617.405890,582.774687, 'walking'
620.891238,560.851467, 'walking'
660.158022,546.602654, 'walking'
654.585620,518.249245, 'walking'
680.216787,490.092199, 'walking'
642.457260,483.077154, 'walking'
585.623377,487.910819, 'walking'
549.192597,495.522888, 'walking'
547.606765,501.944941, 'walking'
541.246678,520.151061, 'walking'
547.306039,539.749054, 'walking'
567.234077,553.203484, 'walking'
609.791615,553.262519, 'walking'
640.123687,542.505135, 'walking'
637.782467,522.775412, 'walking'
632.864829,510.637815, 'walking'
608.194764,486.049010, 'walking'
601.365925,476.304973, 'walking'
574.437122,465.376626, 'walking'
591.598281,487.873691, 'walking'
582.902971,496.794503, 'walking'
602.456653,509.343656, 'walking'
596.107724,520.856154, 'walking'
605.924126,529.068317, 'walking'
608.856881,529.418940, 'walking'
608.855991,533.275777, 'walking'
607.232455,534.549345, 'walking'
605.176938,537.315357, 'walking'
602.413410,523.272891, 'walking'
600.614062,523.802352, 'walking'
603.958970,523.037722, 'walking'
604.128499,523.817957, 'walking'
601.391378,520.869009, 'walking'
596.123245,519.567401, 'walking'
596.405957,522.723577, 'walking'
596.953783,525.955500, 'walking'
595.085666,531.113788, 'walking'
600.254312,536.369829, 'walking'
601.754197,537.689320, 'walking'
609.758234,538.085710, 'walking'
609.156811,537.908542, 'walking'
614.024799,539.453770, 'walking'
614.164888,540.103240, 'walking'
607.286061,550.153024, 'walking'
603.017357,547.655043, 'walking'
600.719262,548.166390, 'walking'
598.206251,544.240788, 'walking'
598.389963,549.941991, 'walking'
599.255261,549.565338, 'walking'
596.645472,547.690129, 'walking'
592.192596,550.512051, 'walking'
603.133052,544.077864, 'walking'
607.875191,542.793618, 'walking'
620.387580,540.031886, 'walking'
623.057229,541.150078, 'walking'
618.378764,538.085385, 'walking'
617.689422,533.872605, 'walking'
609.177384,527.528039, 'walking'
609.176700,517.756423, 'walking'
605.025752,510.072369, 'walking'
598.265102,511.482311, 'walking'
586.375085,496.048711, 'walking'
577.399097,496.714674, 'walking'
573.214651,497.866749, 'walking'
574.141881,495.710292, 'walking'
586.259736,497.769611, 'walking'
607.147801,499.489580, 'walking'
634.223978,504.809907, 'walking'
640.984797,527.650225, 'walking'
644.682105,543.867165, 'walking'
617.754912,555.228595, 'walking'
614.649560,558.300334, 'walking'
618.689072,559.506802, 'walking'
612.398644,546.069719, 'walking'
612.606010,539.620063, 'walking'
612.819738,537.111980, 'walking'
609.431368,529.294681, 'walking'
607.617126,528.370065, 'walking'
599.781625,529.530364, 'walking'
597.537225,528.996629, 'walking'
589.193631,533.006888, 'walking'
572.074862,540.235698, 'walking'
565.537836,543.357883, 'walking'
557.960811,545.144524, 'walking'
563.227427,539.094045, 'walking'
564.615919,540.771819, 'walking'
572.257774,536.574387, 'walking'
567.178995,542.864032, 'walking'
567.606315,547.337716, 'walking'
573.883370,544.208557, 'walking'
574.556727,546.866664, 'walking'
567.035441,547.071582, 'walking'
558.667143,549.598276, 'walking'
568.458831,548.006513, 'walking'
567.056263,546.241161, 'walking'
572.518419,549.608066, 'walking'
580.941724,546.246954, 'walking'
605.305608,537.635530, 'walking'
615.420156,537.764554, 'walking'
623.070027,531.710155, 'walking'
617.406794,524.118738, 'walking'
622.694620,525.309216, 'walking'
617.252190,538.892139, 'walking'
622.853069,551.608183, 'walking'
623.745069,566.565436, 'walking'
622.342675,589.021174, 'walking'
613.006469,583.646393, 'walking'
626.917501,565.151891, 'walking'
659.910725,544.007184, 'walking'
672.053591,513.384599, 'walking'
691.904856,481.386927, 'walking'
673.798379,460.677382, 'walking'
609.791096,476.659318, 'walking'
567.217434,478.884221, 'walking'
565.443374,505.885880, 'walking'
553.635814,526.021174, 'walking'
555.630117,546.265970, 'walking'
563.310472,555.491898, 'walking'
554.659703,562.926240, 'walking'
579.886290,549.768408, 'walking'
606.114339,537.070855, 'walking'
615.627416,516.425847, 'walking'
617.591354,503.062134, 'walking'
613.374178,488.548445, 'walking'
617.451091,469.079836, 'walking'
610.401535,483.570900, 'walking'
602.196692,492.890483, 'walking'
597.874182,515.522469, 'walking'
606.894013,525.596142, 'walking'
606.550605,533.404062, 'walking'
602.674124,540.344208, 'walking'
596.897810,541.144329, 'walking'
590.585827,537.521812, 'walking'
584.525745,541.486823, 'walking'
591.800991,532.839401, 'walking'
